2025-04-20 22:48:21 - INFO - ==== 回测日志系统初始化完成 ====
2025-04-20 22:49:08 - INFO - 已处理 309000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 310000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 311000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 312000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 313000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 314000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 315000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 316000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 317000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 318000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 319000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 320000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 321000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 322000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 323000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 324000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 325000/525600 条K线数据
2025-04-20 22:49:09 - INFO - 已处理 326000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 327000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 328000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 329000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 330000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 331000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 332000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 333000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 334000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 335000/525600 条K线数据
2025-04-20 22:49:10 - INFO - 已处理 336000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 337000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 338000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 339000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 340000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 341000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 342000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 343000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 344000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 345000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 346000/525600 条K线数据
2025-04-20 22:49:11 - INFO - 已处理 347000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 348000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 349000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 350000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 351000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 352000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 353000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 354000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 355000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 356000/525600 条K线数据
2025-04-20 22:49:12 - INFO - 已处理 357000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 358000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 359000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 360000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 361000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 362000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 363000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 364000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 365000/525600 条K线数据
2025-04-20 22:49:13 - INFO - 已处理 366000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 367000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 368000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 369000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 370000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 371000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 372000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 373000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 374000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 375000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 376000/525600 条K线数据
2025-04-20 22:49:14 - INFO - 已处理 377000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 378000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 379000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 380000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 381000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 382000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 383000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 384000/525600 条K线数据
2025-04-20 22:49:15 - INFO - 已处理 385000/525600 条K线数据
